Unnamed: 0,id,title,detail,condition,is_completed,price,location,source,model,model_type
42,025640c0-3b98-4a96-95b1-958462556298,스토케 트레일즈(오프로드 휠),20년형 스토케 유모차 판매합니다. 트레일즈의 장점은 튼튼하고 유모차 아래 바구니가 넉넉해서 왠만만 짐은 다 싣고 다닐 수 있다는 것 입니다. 상태는 사용감은 있지만 깨끗한 편이고 손잡이 가죽 뜯김은 없고 스크래치 부분은 사진에 올렸으니 참고해주세요. - 구성품 유모차 본품 / 방한풋워머 본품 방한커버 / 라이너 본품 아님 중고인점 감안하여 환불 불가입니다.,사용감 적음,True,150000.0,서울특별시,daangn,trailz,
48,02935130-813e-4961-968d-fccdef4a8ebc,스토케 익스플로리 v4 디럭스 유모차,"스토케 디럭스 v4입니다 사용감 아예없진 않지만 깨끗한 편이고 구성품은 사진에 있는게 다에요 신생아부터 가능하고 디럭스라 튼튼합니다 스토케라 핸들링 좋습니다 높낮이조절 앞,뒤보기 각도조절 모두 가능  지사동 삼정그린코아 문앞 비대면 교환 환불안됨",사용감 적음,True,20000.0,부산광역시,daangn,explori,디럭스
49,0296b5e0-2d90-46a0-a3b4-fa4a0f114b1b,스토케 익스플로리 V3,"스토케 익스플로리V3 판매해요! 디럭스 유모차 중 핸들링 좋기로 소문난 스토케구 아무래도 사용 기간이 길지 않다보니 당근으로 저렴하게 구매하셔서 쓰시는게 나을 것 같아요 :) 유모차에 아기가 잡는 부분 커버가 없어서 제가 직구로 따로 구매까지 해서 구성품은 빠지는거 없이 있습니다! 레인커버, 바퀴보관비닐?하고 우산까지 다 있어요~ 깨끗하게 사용했고 직접 분해해서 세탁은 했는데 위생 상 걱정되면 한번 더 세탁하심 됩니다 ㅎㅎ 중고 특성 상 교환이나 환불은 불가합니다! 그럼 연락주세요!",사용감 적음,True,50000.0,대구광역시,daangn,explori,디럭스
50,02e7cd0c-0be5-4c88-98bc-a6a0224401ac,스토케 스쿠트유모차 판매합니다.,"새상품 무선 고압 세척기 세차건 세차용품20,000원쌍암동·1일 전",새 상품,True,70000.0,광주광역시,daangn,scoot,
53,0313a939-e02c-4575-83c4-ace15fb38578,스토케 익스플로리 유모차,"스토케 익스플로리 유모차 보냅니다. 아이가 사용한거라 당연히 사용감은 있구요 레인커버, 방풍커버(따로구매), 신생아 겨울 워머, 유모차 전용 우산, 매쉬패드 등등 풀세트입니다. *신생아패드는 따로 세탁 필요합니다. 나머지는 그냥 사용하셔도 돼요 사용하기 편리합니다. 상세내용은 사진 보시고 연락주세요. 명지오션시티입니다.",사용감 많음,True,10000.0,부산광역시,daangn,explori,
55,0322beaa-b412-4e3f-b59d-39d9c898be8c,스토케 익스플로리 디럭스 유모차 v4 블랙멜란지 판매합니다,"스토케 익스플로리 디럭스 v4 유모차 재당근합니다. 컵홀더, 가방걸이, 가방 포함되어 있습니다. 상세사진에 나온 것과 같은 생활기스(손잡이, 폴딩버튼 부근 등)가 있지만 전반적인 상태는 매우 양호합니다. 집에서 아기 재우는 용도로 사용하려고 구매해서 바퀴 등 깨끗합니다. 명지국제 에일린의뜰 아파트에서 거래 희망합니다.",사용감 적음,True,60000.0,부산광역시,daangn,explori,디럭스
59,037dfcec-dc1a-41e5-8527-b2f18d26a469,스토케 익스플로리 V6(구성품 다수 포함),"19년 가을에 샀던 스토케 디럭스 유모차입니다. 아가랑 동네 산책다닐 때 정말 안정감있더라고요. 핸들링 감이 좋아서 엄마 손목에 무리가 안 갑니다. 베이비 시트가 없어져서 아주 저렴히 내놓습니다. 쿠*에서 스토케 베이비 시트 검색하시면 예쁜거 많이 나와요. 저는 아이가 너무 더워해서 빼놓고 쿨시트 끼고 다녔더니 원 구성품이 어딨는지 모르겠네요 ㅜ ㅜ 쿨시트까지 드릴게요. 가방과 모기장, 선셰이드, 레인커버, 컵홀더도 포함하여 드립니다. 산책용으로 썼던만큼 사용감이 있습니다. 예민한 분은 사절할게요. 집 앞까지 오셔서 가지고 가실 분이면 좋겠어요. 강일동 강일고등학교 근처입니다. 환불은 되지 않습니다.",사용감 많음,True,150000.0,서울특별시,daangn,explori,디럭스
88,0578c87c-e9a5-4b2d-8404-34a153632feb,스토케스쿠트,"스토케 스쿠트유모차올려요~ 당근에서 깨끗하고 상태최상이였던거사서 잘쓰고 다른유모차로 넘어가서올립니당!! 8/6일날 당근으로구매해서 지금까지 깨끗히 잘썼습니다 핸들링도좋구요 튼튼하고 안정감있구좋아요~~ 구성품:햇빛가리개,레인커버,방한커버,컵홀더,발판 (발판은 원래없었는데 따로사서 썼습니당) 앞보기,뒤보기 다가능 손잡이각도조절가능 눕히기도 3단으로 가능합니다~~ 중고거래 특성상 환불안됩니당 중고상품이니 예민하신분은 패스해주세요 육아중이라 직접와주셔야합니다",사용감 적음,True,50000.0,울산광역시,daangn,scoot,
94,0617b32a-5f18-4c7e-85ea-b11c9d0658c2,스토케 유모차 익스플로리 v3,"물려받아서 사용하여 사용감있지만 부러지거나 망가진 곳 없습니다. (직접 구매하지않아서 버전을 잘 모르는데 아마도 v3인 걸로 알고 있습니다.) 구성품: 유모차, 차양우산, 방풍커버, 방수커버, 방충커버, 컵홀더, 보조가방2, 방수패드, 유모차고리2 문고리거래합니다.(고래힐)",사용감 많음,True,30000.0,서울특별시,daangn,explori,
95,06187cac-f395-49e7-a7ed-7457356a954f,스토케 익스플로리 v6 유모차,스토케 유모차 판매합니다 아이 태우고 잠깐씩 사용했어요 여름용 쿨냉시트와 내부선풍기까지 모두 드립니다. - 인체공학적 디자인으로 편안함 - 다양한 액세서리 호환 스토케 유모차 판매합니다 사진 참고해주세요~ 먼지만 제거하면 거의 새거입니다. 구매당시 180만원 주고 구매하였습니다.,사용감 적음,True,200000.0,,daangn,explori,
97,062971a4-67f8-4f4a-8a5f-4c363ef95cb0,(재당근) 스토케유모차,"스토케 익스플로리 레드 첫 구매 후 3년정도 타신거 당근받아서 사두었는데 친정집에서 아기 볼때 잠깐 쓰려고 놔뒀는데 막상 안쓰게되서요. 당근받아서 한 두번 사용했습니다. 엄마가 엄청 깨끗한 성격이라 세탁도 다 해놨고 먼지탈까 항상위에 천 씌워뒀어요. 쨍한 레드컬러라 야외에서 사진도 잘 나오고 예뻐요. 처음 구입하신 분이 조심해서 사용하긴 했지만 사용감은 당연히 있습니다. 튼튼하고 사용감 외 특별한 하자는 없습니다. 스토케 짐바구니, 동절기 워밍패딩도 드려요. 감안해서 저렴하게 내놓습니다.",사용감 적음,True,35000.0,경기도,daangn,explori,
107,06b8f7cb-2755-4d5c-b51d-f4eae5498bcb,스토케 크루시 유모차 베이지,"당근으로 구매해서 잘 사용하다가 이제는 사용하지않아서 내놓습니다. 방풍커버는 이 모델 전용으로 4만원정도에 새제품 별도구매했는데 그러고 실사용한 횟수는 다섯번도 안되고 계속 아파트 복도에 세워두었어요. 그리고 작동해보니 접을때 핸들 부분이 잘 안내려가는 현상이 있어요, 어떻게 잘 하면 되긴하는데 바로 잘 접히지가 않아요~ 저는 차에 실었다내렸다 할일이 없어서 거의 접지않고 사용해서 괜찮았지만 참고해주세요. 고급스러운 베이지색이고 핸들링 좋고, 무엇보다 이 모델의 장점은 흔들림 적고 안정적이에요. 사용하다보니 아래쪽에 수납이 많이 되는것도 엄청 큰 장점이더라고요. 접이식인데 suv 트렁크에는 실립니다. 사진에 있는 손잡이 있고 우산은 찾아봐야하는데 있을지 모르겠네요. 새제품이 아니다보니 사용감 있는 것 감안하고 깨끗이 닦아서 편하게 사용하실분이면 좋을것 같아요. 저는 생각보다 사용을 많이 안하게 되서 새제품 구매했으면 아까웠겠더라구요. 일광신도시 비대면 문앞거래 필요하신 분 연락주세요.",새 상품,True,50000.0,,daangn,crusi,
112,06ec40c0-d2c3-494b-bac8-a5c503daad14,스토케 디럭스 유모차,"친구에게 물려받아 1년 사용하고 내놓아요:) 모델명은 익스플로리인데 버전은 모르고 2022년도 구매한 제품입니다. 유모차 전문세탁업체 통해 세척 후 사용했어요. 고장난 부분 없어서 세탁만 하심 됩니다. 손잡이 부분을 잃어버려서.. 당근으로 구해써서 색상이 다릅니다ㅎㅎ 곧 이사예정이라 마지막 끌어올림입니다. **육아중 문고리거래 희망해요 **반품, 환불은 어려워요",사용감 많음,True,99000.0,경기도,daangn,explori,디럭스
117,0718f1c5-612d-4dd6-a2da-164a2c0cfb3d,스토케 익스플로리 엑스 디럭스 유모차 유아차,"23년 현대백화점 스토케 매장에서 구매한 정품입니다. 아기가 약 8개월 정도 사용하였습니다. 구매시 같이 드립니다) 깨끗하게 물건을 쓰는편이라 제품 상태가 매우 좋습니다. (실내 보관한다고 세탁까지 완료한 상태) 핸들링 및 제품 모두 잘 작동되며 필요하신 분께, 컵홀더/마니또 방풍커버 함께 드립니다 현재 매장가 본체만 192만원인 제품으로 좋은 분에게가면 좋겠습니다. 중고제품 특성상 반품교환은 불가합니다",사용감 적음,True,690000.0,서울특별시,daangn,explori,디럭스
120,0741f081-3d90-4f1d-8ae3-9623f3795d15,스토케 익스플로리 유모차,스토케 익스플로리 유모차입니다^^ 유용하게 잘썻어요 구성품은 다음과 같아요 - 유모차 본체 - 기본커버 - 모기장 - 레인커버 - 윈터 키트 (박스 O 한번도 사용안함) - 가방 - 신생아 이너시트,새 상품,True,500000.0,광주광역시,daangn,explori,
132,07d354fb-79e9-4c02-a8eb-514e34b98f6a,스토케 크루시 유모차,"스토케 크루시 판매합니다. 이제 아기가 유모차를 많이 안타서 판매합니다. 안정감이 뛰어난 디럭스형 유모차로 앞보기 뒤보기 모두 가능합니다. 겨울키트 여름키트 모두 있어 4계절에 맞추어 사용할 수 있습니다. 현재 사진은 기본 상태(봄가을용) 여기에 겨울용 여름용 시트 및 커버로 교체가능합니다. 여름용 키트에는 시원한 타월 재질의 시트 커버와 얇은 핑크색 덮개, 겨울용 키트는 따뜻한 시트와 커버, 성인용 장갑과 털 관리하는 솔도 포함입니다. 그리고 사진에 있는 보조가방, 파우치, 컵받침이 갖추어져 있습니다.",사용감 많음,True,200000.0,세종특별자치시,daangn,crusi,디럭스
134,07e0bf2a-5528-4f9c-8045-5626ecb7b7a2,스토케 익스플로리 유모차,"스토케 익스플로리 유모차 재당근합니다 24년 당근으로 구매했고 집앞 마실용으로 탔어요 올해는 유모차 거부가 심해서 집 앞에 세워둔 날이 많아요 재당근이라 아무래도 사용감이 있으니 예민하신 분보다는 편하게 사용하실 분! 유모차 레인커버, 모기장 별도로 있습니다",사용감 많음,True,15000.0,세종특별자치시,daangn,explori,
135,07e6153f-64d6-4f04-8ad4-2562eb5955d3,스토케 익스플로리 유모차,스토케 익스플로리 유모차 나눔합니다 저도 당근해와서 신생아때부터 집안에서 아기재울때 사용했는데..진짜 너무너무 편했어요 집안에서만 사용했습니다 왠만한 아기침대보다 편해요 - 높이 조절로 식탁에서도 아이와 함께 할 수 있어요 -3단계 각도 조절 및 양대면 기능 지원 생활 기스 있고 시트세탁안했어요 받으시면 다 분리하셔서 세탁하셔야 되요 신생아패드도 있는데 신생아패드는 사용안해서 깨끗합니다 직접 가지러 오셔야되요,사용감 적음,True,5000.0,서울특별시,daangn,explori,
136,07ec3e7b-367f-43d0-9e36-1c86188e8790,스토케 v5 익스플로리(가격내림없어요),스토케 v5 익스플로리 입니다. v4에서 v5로 넘어갈때 바퀴색깔이 바꼈는데 새로바뀐 검정바퀴 입니다. 저희아들 새제품 구매해서 혼자만 태웠고 생활기스는 있으나 사진으로 보다시피 상태 좋습니다. 바퀴닳음도 좋습니다. 이제 보관하다가 보냅니다. 세탁완료되었습니다. 구성은 레인커버 (새제품) 신생아패드 정품등록 되어있습니다. 쿨거래 시 새상품으로 구매한 휴대용 유모차 드립니다.(휴대용은스토케아님)  예민맘들 사절이고 찔러보기 거래후 반품,새 상품,True,297000.0,경기도,daangn,explori,
139,0802e603-bee7-411a-a402-1911021b8d78,스토케트레일즈 유모차,"사용감 많지는 않지만 그래도 조금 있어요! 바람막이,컵홀더 있어요 사진에 있는 그대로 입니다 깨끗하게 사용했어요 올겨울에 사용하심 좋을꺼예요",사용감 적음,True,70000.0,인천광역시,daangn,trailz,
145,083d2774-c110-4c2a-9207-85186c856e87,스토케 유모차,스토케 익스플로리(2017년 구매하여 사용) 그레이멜란지 색상 핸들링 좋고 안정적임 방풍커버 있음 사진처럼 스토케 정품 레인커버 씌워서 보관 중 네고 가능,사용감 많음,True,100000.0,서울특별시,daangn,explori,
154,08881a5e-72c3-45d0-8a97-f7e137f2779e,(새상품) 스토케 요요3 휴대용 유모차,스토케 요요3 유모차(미사용 새상품) 색상은 블랙 & 스톤 - 유모차 본체 - 유모차 가방 - 컵홀더 - 레그에스트 포함 - 구매시 스토케 요요파라솔(정가7만원)도 같이 드릴게요. (새제품) 2월쯤 주문해서 5월에 배송받아 조립한 상태로 보관만 했습니다. 아직 휴대용 쓸 날이 멀어 판매합니다.(디럭스사용중) 유모차 박스는 전부 버린상태이구요. 새제품확실하고 아닐시 2배로 환불해드리겠습니다. 지금 공홈에서 주문하면 10월-11월 순차배송으로 알고있습니다. 환불불가 구매하실분만 연락주세요.,새 상품,True,670000.0,경기도,daangn,yoyo,디럭스
156,089e81d7-c21f-4cf8-8a6f-0b7b20829be3,스토케 익스플로리 V4 블랙멜란지 디럭스,"스토케 익스플로리 V4 블랙멜란지 판매해요, 저는 지인에게 물려받아 작년 8월에 받아서 겨울까지 갖고있었지만 실 사용은 짧아요~ 생활기스도 심하지않은 전체적으로 깨끗한 편이지만 예민맘은 피해주세요^^ 봄아가라 여름에 나갈수있었는데 그마저도 너무덥고 그래서 많이안타고 내놓아요 대전에 전문 세탁업체 맡겨서 세탁했고 보시면 모기장은 사용하지않아 세탁한 그대로 보관했네요^^; 정말 써보니 디럭스 유모차는 새것을 사면 후회했을거같아요~ 사용기간은 실제로 올 가을에 10회정도 탔어요ㅠㅠ 그래도 신생아부터 디럭스로는 최고 튼튼한 스토케 태운거 너무 만족해요~중고지만 상태 좋은 제품으로 타다가 저희 아가도 이제 휴대로 가게되어 내놓아요^^ 구성품은 양산(정품) 방풍커버(정품X-맘스네이처) 담요(정품) 컵홀더(정품) 담요,모기장(정품) 쿠션 포함입니다 가격절충X 교환X 반품X 독박육아중이라 쿨거래 빠른거래 하실분 그외 자세한 사항 설명 문의는 당근주세용",사용감 적음,True,90000.0,세종특별자치시,daangn,explori,디럭스
157,08d3ca32-de1b-4021-9f32-110e9bd570b5,"스토케 스쿠트 유모차(절충형, 셀프스탠딩)","스토케 스쿠트 유모차 판매합니다. 절충형이지만 바퀴가 디럭스급이라 아이가 편안해하고 장바구니가 커서 엄마도 편히 쓰기 좋습니다. 현상태 그대로 인수이며 손잡이 커버 씌워서 사용하여 손잡이 까짐없고 캐노피 쪽 플라스틱 동그라미는 셀프스탠딩시 바닥지지부분이라 스크래치 있습니다. 브레이크 앞쪽 고무도 스크래치 있는데 둘 다 사용상 문제 없는 부분입니다. - 시트분리없이 접히고 셀프스탠딩 가능 - 시트 분리 및 양대면 기능 - 큰 장바구니 - 정품 악세사리:컵홀터, 방풍커버, 모기장 *자곡동 문고리거래이며 거래 후 교환,환불은 불가하오니 이 점 유의하시어 거래신청 부탁드립니다.",사용감 많음,True,10000.0,서울특별시,daangn,scoot,절충형
159,08e67057-5b91-466d-add4-3f623d3dc04c,스토케 익스플로리 디럭스 유모차 판매핮니다,스토케 익스플로리 v5 디럭스 유모차 판매합니다 7만원주고 세탁까지 완료한 상태라 바로 가져가서 사용하셔도 됩니다 연식은 되었지만 상태 최상급입니다! 아기가 어릴때는 휴대용 절충형보다 디럭스 정말 추천합니다 중고인점 감안하시고 예민맘 패스해주세요!,사용감 적음,True,150000.0,광주광역시,daangn,explori,절충형
165,0937e5b3-634c-43d8-8757-7f2bdcc36355,스토케요요 휴대용유모차 풀구성 25만원,"스토케요요 휴대용유모차 풀구성 25만원 다드려요 요요 본체, (핸들커버 끼워져있음) 컬러팩 네이비 (올해1월27일구매) 뉴본팩 핑크 (신생아 눕혀서 사용할수있음, 풋머프포함) 방풍커버(요요전용 2월에사서 30분사용 상태최상) 선쉐이드(미사용제품.새거) 레인커버(정품,사용감많음.사용안할거면 버리세요) 발판2개 (본체에 끼워져있는건 요요정품 따로드리는건 정품보다 크기가 조금더커요) 요요백(사용안함,연결하는바퀴를찾아봐야함) 요요스키(미사용제품,사진에는 없음 원하시면드릴게요) 요요 트레블백(정품은아니지만 유모차 딱맞게들어가요,사진없음) 가볍기로소문나고 핸들링 좋은건 아시죠? 밀어보시고 결정하셔도되요 풀구성이라 신생아때부터 쭉쓰셔도되고 바로 여행가셔도 됩니다(기내반입쌉가능) 구매한지는 오래됬지만 소모품은 계속 새로사서 갈아줬기때문에 새거나마찬가지예요 사진으로 상태봐주세요",새 상품,True,250000.0,,daangn,yoyo,
166,093aa28b-c374-4cf3-818f-d1e5dec502a1,스토케 유모차,스토케 비트 유모차 판매합니다 20년도 8월 구매했어요 1명 태웠어요 밑에 수납도 넓습니다 스팀청소 해놨어요 뒤에 보이는 조커 올라이드 합체해서 사용 가능해요 (3만원) 유모차 가격만 입니다! 사용감 스크레치 있습니다 구매후 환불.교환X,사용감 많음,True,190000.0,광주광역시,daangn,beat,
168,09465642-354c-44d3-884f-608d214e2a13,스토케 스쿠트 유모차,집에 휴대용. 절충형. 디럭스 유모차가 3대 있었고 그 중 디럭스 유모차라 가볍게 동네산책 용도로 가끔 사용하는만큼 사용빈도가 거의 없고 집에 모시고 살다보니 애가 컸네요. 가장 인기많은 그레이 컬러에 핸들링 말할거 없이 너무 좋고 사용해보면 역시 스토케가 핸들링 끝장난다 했습니닼ㅋㅋ 장바구니 커서 짐 싣기 편하며 바퀴 고무털(?)살아있고 공기압 좋아요 (이사하며 분실하여 다른 구성품은 없습니다) 전체적으로 생활기스외 깨끗하고 제가 구매자라면 너무 좋은 상태지만 새제품급 찾으시는 예민맘 패스하세요~ * 구매하려는 유모차 스펙이나 기능은 본인이 직접 찾아보세요. 구매약속 일정 외 질문 답변 안합니다.,새 상품,True,120000.0,광주광역시,daangn,scoot,절충형
171,0999b252-7d34-4e49-9eb0-e362050e7206,스토케 유모차 스토케 트레일즈 신생아 유모차 디럭스 유모차,스토케 유모차 트레일즈입니다. 너무 튼튼해서 아기 어릴 때 잘 썼습니다. 내부에서 아기 재울 때 위주로 많이 써서 깨끗한 편입니다. 조금 사용감은 있어요~~ 디럭스 유모차로는 스토케가 제일 좋은 것 같아요,사용감 적음,True,30000.0,,daangn,trailz,디럭스
183,0a61e426-e911-416d-b726-57db78f9feef,스토케 익스플로리,스토케 익스플로리 당근에서 구매해서 산책용으로 잘 썼어요 연식은 있지만 깨끗한 편입니다 그래도 생활기스는 있어서 신중하게 선택해주세요 방풍커버는 제가 따로 구매한건데 같이 드릴게요~ 주로 절중형 유모차를 차에 가지고 다니며 사용하였구 디럭스는 산책용으로 끄느라 사용횟수가 적어요 반품 교환,사용감 적음,True,70000.0,대전광역시,daangn,explori,디럭스
185,0a82edc9-706a-4a47-936e-8368d2439de9,스토케 익스플로리 디럭스 유모차,"스토케 유모차입니다 아이 태우고 다닐 때 물려받아서, 자세한 스펙은 몰라요. 한두번 잠깐 태우고, 휴대용을 주로 써서 사용은 거의 안했습니다. 다른 부분은 사용감 있어도, 아기 태우는 부분은 깨끗하고, 바로 쓰셔도 됩니다. 바퀴나 다른 부분은 사용감 있으니 예민하신 분은 피해주세요. 쨍한 빨강이라 이뻐요. 지금 사진 찍었어요. 빨간 가방이랑 방풍커버 같이 드립니다. -문고리 거래입니다. -교환, 환불 불가입니다.편했어요!",사용감 적음,True,45000.0,,daangn,explori,디럭스
191,0ad71654-dec0-4a57-a0a6-af9f303d3921,스토케 디럭스 신생아유모차(업체세탁완료),"스토케 익스플로리 V4 멜란지그레이 입니다. 구성품 : 설명서, 신생아 패드, 파라솔, 모기장, 컵홀더, 방풍커버 중고거래 특성상 교환,환불 안되는점 양해부탁드립니다.:)",사용감 많음,True,90000.0,경기도,daangn,explori,디럭스
193,0ad9f88d-e16a-46d4-90cb-f1d4c0c7fa4e,스토케 v4 디럭스 유모차,"스토케 익스플로리v4 디럭스 브라운커버, 브라운 장바구니 v3 버전(전혀 지장 없음) 구성품 1. 스토케 정품 컵홀더 2개 2.스토케 정품 레인보우 커버 3.방풍커버 (브라운) 4.방한커버 (브라운) 5.발받침대 6.유모차 가방걸이(사진상) 7. 스토케 정품 신생아패드 브라운 컬러 구하기 어려워요~ 베베케어 라는 세탁 업체에서 명품세탁 한 뒤 2-3번 정도 썼어요(30분도 안 탐) 상태는 제가 보기에는 전체적으로 깨끗한데, 제가 못 본 부분 있을 수 있어요(예민맘 지나쳐주세요) 손잡이 옆 부분에만 까짐 있습니다 사진 추가 해놨어요! 질문 하시는 건 괜찮은데, 예의있는 거래 하고 싶어요 이래저래 예민하신 분은 그냥 새거 사세요ㅠㅠ 이사로 인하여 10/2까지만 판매합니다. 그 이후엔 부천 상동에서 거래 가능합니다. 삼송 더샵 입니다. 개인간의 거래이오니 교환/환불 어렵습니다‍ 예민하신 분은 새상품 구매 해주세요",새 상품,True,22000.0,대전광역시,daangn,explori,디럭스
197,0b06f59b-2ac6-4efb-ba42-3d47fa9f1415,스토케 요요2,"스토케 요요2 새제품 입니다  초경량 단6.2kg! 휴대용 콤팩트한 유모차!  세계 최초 기내 반입용 유모차 비행기탑승 프리패스!! 어깨에 매고 이동 할 수 있어요 해외여행 가더라도 유모차는 필수 구성품이 좋아서 73만 5천원 질렀던 상품 인데요 제 아가는 기존 타던 유모차 거부도 심해졌네요 (기존 유모차도 안타서 무용지물 입니다 ) 휴대용 유모차 필요하신 분께서 싼 값에 새 상품 가져가셨으면 합니다 (제가 잘 조립 해둔 상태예요) 당시 추가 구성품 개봉 안한 그대로 드립니다. (1)컵홀더 (2) 모기장 (3)컬러백 올리브컬러 새것 (69,000원) 모두 전부 새상품  구입 원하시면 직거래로 신뢰 있는 거래 했으면 합니다 반품은 불가 하니 신중한 거래를 부탁드려요 입금 빠른 순으로 거래합니다  만족스런 거래를 매우 중요시 합니다",새 상품,True,530000.0,서울특별시,daangn,yoyo,
